acc,OSC1,OSC2,OSC3,GSC1,GSC2,GSC3
0,3.071428571,3,3.75,3.307692308,3.666666667,3
0,4.071428571,4.333333333,5,4,4.333333333,4
0,3.857142857,3.333333333,3.5,4,3.666666667,3.25
0,3.142857143,3,3,3.461538462,3.333333333,3.75
0,4.785714286,5,2.5,4.538461538,4.333333333,5
0,4.857142857,3,5,3.923076923,4.333333333,5
0,4.5,3.333333333,4.25,4.307692308,4.333333333,4.5
1,4.142857143,4,4.5,3.846153846,4,4.25
0,4.714285714,3.666666667,5,4.692307692,5,5
0,4.357142857,4.666666667,5,4.384615385,3.666666667,5
0,4.142857143,1.333333333,3.25,4.538461538,3.666666667,1
0,4.857142857,4.333333333,5,4.769230769,4.666666667,5
0,3.214285714,2.666666667,4.5,3.230769231,4.666666667,5
0,4.5,3.666666667,5,3.461538462,3.333333333,5
0,3.642857143,2,4,3.769230769,4.666666667,4.25
1,3.714285714,3,4,3.076923077,3.333333333,4
1,4.642857143,4.333333333,5,4.461538462,5,5
0,5,5,5,5,5,5
0,3.5,2.333333333,3,3.769230769,4.333333333,4.25
1,4.5,4.333333333,5,3.923076923,3.666666667,5
0,3,2.666666667,3,3.076923077,2.666666667,3.5
0,4.428571429,4.333333333,4.75,4.307692308,4.333333333,5
1,4.642857143,4,4,4.538461538,4,4.75
0,2.071428571,3,3,2.384615385,2.666666667,3.5
0,4.357142857,4,4.25,3.692307692,2.666666667,4
0,4.857142857,5,5,5,5,5
0,4.214285714,4,4.5,3.846153846,3.666666667,4.25
0,4.285714286,3.333333333,5,3.923076923,4.333333333,5
0,2.071428571,1.666666667,2.5,2.769230769,3,4.5
1,3.785714286,3.666666667,4,2.230769231,3.666666667,3.75
1,5,5,4,4.384615385,3.666666667,5
1,4,3.666666667,4.5,3.769230769,4.333333333,4.25
0,4.571428571,5,5,4.461538462,5,5
1,3.142857143,3,3.25,3.461538462,4.333333333,4
0,3.642857143,4,4,4.692307692,5,4.75
0,4.285714286,3,4.5,4.230769231,5,4.25
1,3.285714286,3.666666667,3.75,3.384615385,3,4
0,2.5,2.333333333,3.5,2.307692308,3,4.5
1,4.928571429,5,3.75,3.846153846,3.666666667,3.5
0,4.571428571,4.333333333,4,3.923076923,3.666666667,5
0,2.857142857,3.333333333,4,3.461538462,4.666666667,5
0,3.785714286,2.666666667,4,3.615384615,4.333333333,5
0,5,5,5,5,5,5
0,4.785714286,3.666666667,5,4.538461538,3.666666667,5
1,4.428571429,3.333333333,4.25,4.461538462,5,4.25
1,4.357142857,1.333333333,2,4.307692308,2.666666667,1.25
1,2.571428571,2,2.5,1.692307692,3,3.25
0,4.5,3.333333333,5,4.692307692,4,5
0,2.571428571,2.333333333,3.5,2.923076923,5,4
1,4.071428571,3.666666667,4,4.692307692,3.666666667,4.5
0,3.928571429,2.666666667,3.25,4.769230769,5,5
0,2.928571429,3.666666667,3,3.076923077,3,3
0,3.714285714,2.666666667,4.5,4,3.666666667,5
0,3.714285714,4,4.25,3.692307692,4.333333333,5
1,4.642857143,3.333333333,4.25,4.153846154,5,4.5
0,4.928571429,5,5,4.538461538,5,5
1,4.214285714,4.666666667,4.75,4.846153846,4.333333333,4.5
0,4.571428571,4.333333333,5,4.230769231,5,5
1,4.214285714,3.666666667,5,4.461538462,3.333333333,5
1,4,3.666666667,4,4.384615385,5,5
1,2.214285714,4.333333333,4.25,2.384615385,5,4
0,4.642857143,4.666666667,5,5,5,5
0,3.642857143,3,4,3.307692308,4.333333333,4
0,4.714285714,3.666666667,3.5,4.153846154,4.666666667,4.25
0,4.142857143,3.666666667,4.75,3.230769231,3.666666667,4.25
0,2.428571429,2.333333333,3,2.384615385,2.333333333,2.75
0,4.642857143,5,5,4.692307692,5,5
0,2.928571429,3,3.5,1.923076923,4.333333333,3
1,2.5,2.333333333,2.5,4.615384615,5,4
0,4.428571429,3.333333333,4,3.692307692,4.666666667,4
1,3.857142857,4,4,3.846153846,4.333333333,4.75
1,3.785714286,3,4.5,2.769230769,4.333333333,3
0,3.714285714,3,4.25,4.692307692,4,4.75
1,3.857142857,4.666666667,4.5,4.615384615,4.333333333,5
0,5,5,5,5,5,5
1,4.571428571,3.666666667,4,3.615384615,4.333333333,3.5
1,3.214285714,2.333333333,3.5,2.692307692,3,3
0,4.5,4.333333333,5,4.153846154,5,4.25
1,2.928571429,3.666666667,4.25,3.692307692,3.666666667,4.5
1,4.857142857,4.666666667,4.75,5,5,5
1,3.142857143,2.666666667,3.5,3.153846154,3.333333333,4.25
0,4.785714286,5,5,5,4.333333333,5
0,3.214285714,3.333333333,4.5,3.846153846,4.333333333,3.75
0,4.285714286,5,5,3.076923077,4.666666667,5
0,4.714285714,5,4,5,5,5
0,2.5,2.333333333,2,2.307692308,1.666666667,2.5
1,4.428571429,3.666666667,4,4.307692308,5,5
0,4.428571429,3.666666667,4.5,4.846153846,5,5
1,4.642857143,4.666666667,5,4.923076923,5,5
